"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date"
"AAP","Advance Auto Parts, Inc.","Services","Auto Parts Stores","USA",11487.70,24.84,17.44,2.11,1.20,3.89,84.97,51.38,0.16%,3.90%,6.20,-3.10%,16.23%,3.90%,11.78%,9.20%,13.60%,2.40%,74.61,73.06,0.30%,2.99%,,-1.10%,6.85%,4.79,5.40%,16.40%,12.80%,1.40,0.20,0.36,0.36,44.50%,8.20%,4.80%,-0.89%,-5.38%,-12.90%,-3.04%,-1.28%,-8.96%,1.01,3.17,1.53%,2.05%,-3.09%,-6.41%,-3.27%,-13.26%,1.55%,-13.42%,15.88%,35.02,-1.00%,0.24%,2.40,1044.86,1.02,153.97,-0.76%,1064539,2/21/2017 8:30:00 AM
"AAPC","Atlantic Alliance Partnership Corp.","Conglomerates","Conglomerates","USA",50.30,,,,,0.47,,,,,-0.80,,,,,,,,5.03,3.65,80.70%,,3.40%,-97.41%,0.00%,0.03,,,,0.10,0.10,0.00,0.00,,,,-28.57%,13.38%,,,,-4.41%,,4.15,30.06%,30.75%,-29.41%,-25.61%,-25.61%,-72.60%,26.26%,-72.60%,26.26%,,-2.44%,2.30%,,3.31,2.76,10.00,-0.20%,9148,03/22/2017
"AAPL","Apple Inc.","Consumer Goods","Electronic Equipment","USA",737255.69,16.66,13.71,1.80,3.38,5.57,12.16,18.37,1.64%,26.60%,8.35,-9.90%,13.52%,16.00%,9.25%,14.80%,2.30%,3.30%,5298.66,5240.83,0.03%,-42.16%,61.10%,0.47%,0.91%,1.69,14.30%,34.90%,20.60%,1.20,1.20,0.56,0.66,38.50%,27.10%,20.70%,-0.46%,5.83%,25.86%,33.11%,40.44%,20.66%,1.18,1.51,0.84%,0.91%,1.73%,9.42%,24.91%,-0.81%,21.77%,-0.81%,57.84%,76.16,-0.08%,0.41%,2.00,28200.51,0.69,139.14,0.33%,19566389,1/31/2017 4:30:00 PM
"AAT","American Assets Trust, Inc.","Financial","REIT - Retail","USA",1916.52,61.37,40.77,20.46,6.49,2.31,42.78,,2.53%,140.50%,0.67,-16.60%,16.09%,63.40%,3.00%,7.80%,10.10%,7.10%,46.54,45.99,0.50%,129.14%,93.10%,0.97%,1.17%,2.71,1.60%,4.10%,5.20%,,,1.31,1.31,63.40%,33.20%,11.00%,-4.21%,-4.52%,-1.27%,-6.59%,11.64%,-4.41%,0.57,0.75,1.67%,1.71%,-4.93%,-4.56%,-2.37%,-8.06%,1.03%,-10.11%,12.75%,33.19,-0.12%,1.05%,2.10,199.26,1.35,41.18,0.93%,269779,2/14/2017 4:30:00 PM
"AAU","Almaden Minerals Ltd.","Basic Materials","Gold","Canada",83.61,,,,278.69,2.36,,,,,-0.03,93.10%,,25.40%,,5.30%,-146.50%,43.30%,84.45,74.65,7.20%,0.00%,5.90%,82.34%,2.59%,5.95,-8.30%,-8.80%,-3.10%,29.40,,0.00,0.00,,,,-10.00%,-18.18%,-11.61%,-36.13%,37.50%,2.06%,-0.22,0.07,5.18%,6.16%,-12.62%,-8.40%,-20.59%,-23.85%,12.50%,-47.34%,52.31%,38.80,1.54%,-1.52%,,324.92,0.64,0.99,0.00%,206864,3/28/2017 4:30:00 PM
"AAV","Advantage Oil & Gas Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",1120.41,203.45,13.35,3.29,11.66,1.21,,31.56,,,0.03,-169.40%,24.86%,37.70%,61.91%,-12.30%,-166.40%,87.40%,189.90,183.31,0.70%,0.00%,58.00%,3.55%,1.77%,29.83,-1.00%,-1.30%,-1.20%,0.60,0.60,0.13,0.13,83.80%,-15.80%,-12.20%,2.61%,-6.35%,-18.06%,-19.29%,6.69%,-12.59%,1.14,0.22,4.85%,3.33%,-5.03%,-7.49%,-10.04%,-14.49%,3.51%,-25.13%,18.71%,42.22,0.00%,0.00%,2.00,108.59,1.27,5.90,0.00%,137965,3/2/2017 4:30:00 PM
"AAWW","Atlas Air Worldwide Holdings, Inc.","Services","Air Services, Other","USA",1370.53,32.13,10.38,3.21,0.75,0.90,10.69,,,0.00%,1.69,482.70%,10.22%,-14.10%,10.00%,5.60%,176.10%,12.20%,25.24,24.47,2.70%,-19.36%,,-0.03%,2.80%,3.77,1.00%,2.80%,3.50%,0.60,0.60,1.10,1.22,77.10%,9.00%,2.30%,-4.49%,7.04%,6.47%,36.09%,39.34%,4.12%,1.29,1.60,2.51%,3.09%,-0.94%,2.11%,19.39%,-8.89%,8.71%,-8.89%,58.68%,48.86,-0.37%,0.55%,2.00,181.72,0.84,54.30,0.18%,152783,2/23/2017 8:30:00 AM
"AAXJ","iShares MSCI All Country Asia ex Japan","Financial","Exchange Traded Fund","USA",,,,,,,,,1.65%,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,0.35%,1.37%,4.99%,-0.72%,16.93%,10.25%,,0.41,0.50%,0.51%,-0.13%,2.95%,4.96%,-1.63%,11.59%,-1.74%,19.85%,57.33,0.31%,0.45%,,1048.10,0.40,60.56,0.77%,414958,
"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",2237.24,10.09,10.97,3.77,9.35,1.40,,,11.78%,77.40%,2.25,20.30%,6.36%,34.90%,2.68%,,52.10%,42.60%,98.34,89.76,0.10%,0.00%,25.50%,1.75%,0.65%,1.66,14.20%,14.20%,14.10%,,,0.00,0.00,,100.00%,90.50%,-0.87%,1.23%,-0.91%,8.29%,12.55%,-0.28%,1.43,0.46,1.80%,1.87%,-2.45%,-1.21%,3.75%,-6.95%,3.47%,-6.95%,15.06%,43.19,-0.22%,0.00%,3.20,350.93,0.57,22.75,-0.22%,199472,2/14/2017 8:30:00 AM
"ABAC","Aoxin Tianli Group, Inc.","Consumer Goods","Farm Products","China",20.26,8.99,,,0.59,0.23,0.37,,,,0.28,-23.70%,,-36.70%,,11.90%,-253.50%,-15.20%,8.08,2.66,,,1.00%,14.12%,0.01%,0.01,,,2.70%,8.30,7.60,0.00,0.03,20.20%,,,-7.45%,-31.66%,-21.38%,2.79%,-0.48%,-30.72%,2.08,0.25,12.87%,8.85%,-14.58%,-25.37%,-15.39%,-36.67%,22.34%,-38.38%,66.09%,30.52,2.37%,-0.41%,,15.20,0.20,2.51,1.95%,3014,3/13/2017 4:30:00 PM
"ABAX","Abaxis, Inc.","Healthcare","Medical Laboratories & Research","USA",1116.79,33.28,35.65,3.33,4.94,4.26,8.09,73.96,1.14%,32.40%,1.47,48.70%,7.76%,16.40%,10.00%,8.80%,-13.40%,-0.20%,22.78,21.58,3.20%,-3.93%,,0.08%,9.96%,13.07,12.00%,13.70%,12.80%,7.70,6.40,0.00,0.00,55.70%,20.20%,15.10%,-0.48%,-1.56%,-7.52%,-0.13%,18.49%,-6.83%,0.85,1.05,1.82%,2.00%,-1.11%,-2.06%,-1.35%,-11.32%,9.25%,-12.13%,20.92%,46.31,-0.32%,0.59%,3.20,164.52,0.42,49.03,0.28%,69517,1/26/2017 4:30:00 PM
"ABB","ABB Ltd","Industrial Goods","Diversified Machinery","Switzerland",50291.59,25.04,16.31,3.82,1.49,3.59,8.87,16.21,3.31%,0.00%,0.90,4.40%,17.13%,-8.10%,6.55%,-2.30%,146.80%,-2.70%,2221.36,1988.85,,,3.30%,5.67%,0.29%,2.52,4.80%,14.40%,11.20%,1.40,1.10,0.43,0.50,28.80%,9.00%,5.80%,-0.61%,0.13%,7.30%,-0.04%,29.21%,7.45%,1.21,0.26,0.67%,0.83%,-0.45%,0.12%,5.43%,-5.27%,7.76%,-5.27%,30.28%,49.20,0.58%,0.67%,2.80,2328.86,1.22,22.64,1.25%,2832498,2/8/2017 8:30:00 AM
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - Major","USA",104858.56,18.05,10.24,1.26,4.09,22.95,16.33,36.86,3.89%,62.10%,3.65,16.20%,17.21%,10.90%,14.38%,8.00%,-7.30%,6.20%,1591.66,1591.64,0.10%,-8.70%,69.40%,-1.98%,1.99%,4.55,9.40%,111.30%,18.00%,1.70,1.50,7.86,7.95,77.30%,36.60%,23.20%,4.01%,8.86%,10.93%,4.84%,21.64%,6.27%,1.55,0.94,1.67%,1.40%,5.91%,6.61%,6.97%,1.79%,11.15%,-1.41%,25.71%,77.43,0.89%,1.24%,2.50,6951.71,1.74,65.88,2.14%,12108495,1/27/2017 8:30:00 AM
"ABC","AmerisourceBergen Corporation","Services","Drugs Wholesale","USA",19127.95,14.76,13.74,1.59,0.13,9.12,10.68,32.00,1.65%,21.90%,5.98,4.40%,10.07%,20.30%,9.31%,13.30%,-23.40%,4.00%,216.60,159.75,0.20%,-25.50%,70.30%,-4.04%,10.86%,8.24,4.10%,64.70%,23.70%,0.90,0.50,1.83,2.12,2.80%,1.40%,0.90%,-4.25%,-2.64%,16.08%,2.07%,4.23%,13.40%,0.86,1.79,1.86%,1.86%,-2.77%,1.58%,7.89%,-6.17%,13.73%,-6.17%,30.27%,43.58,-0.76%,0.43%,2.30,2106.48,0.73,88.31,-0.34%,1545634,1/31/2017 8:30:00 AM
"ABCB","Ameris Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",1587.89,22.14,13.97,2.77,6.64,2.47,6.97,,0.87%,14.40%,2.07,63.40%,22.40%,22.30%,8.00%,11.10%,18.40%,19.80%,34.67,33.95,2.40%,0.13%,79.90%,-0.88%,2.81%,4.40,1.10%,11.50%,14.90%,,,0.89,0.89,,90.10%,30.20%,-2.45%,1.66%,-0.75%,28.66%,65.35%,5.05%,1.35,1.30,3.72%,2.54%,-3.94%,0.36%,20.51%,-7.47%,10.10%,-7.47%,67.99%,42.82,-0.97%,0.54%,2.70,216.67,2.05,45.80,-0.43%,443120,1/20/2017 8:30:00 AM
"ABCD","Cambium Learning Group, Inc.","Services","Education & Training Services","USA",215.25,46.77,,,1.43,,18.40,9.65,,0.00%,0.10,86.70%,,39.50%,,-4.40%,94.00%,4.50%,46.49,13.50,71.47%,-0.03%,14.30%,4.36%,0.69%,2.21,3.30%,-6.60%,43.40%,0.50,0.50,,,68.00%,8.90%,3.10%,-4.54%,-7.03%,-0.43%,-13.78%,6.19%,-7.21%,0.07,0.21,4.96%,4.18%,-4.52%,-7.50%,-6.28%,-15.05%,0.65%,-20.92%,16.92%,37.04,-2.94%,1.27%,2.00,42.22,0.40,4.63,-1.70%,16692,3/14/2017 8:30:00 AM
"ABCO","The Advisory Board Company","Services","Business Services","USA",1808.76,19.74,21.04,1.37,2.25,3.49,19.83,29.80,,0.00%,2.28,179.70%,11.74%,28.00%,14.46%,16.80%,136.40%,0.10%,40.15,39.59,0.30%,-37.68%,,4.47%,7.68%,4.02,4.70%,19.90%,6.10%,1.00,1.00,1.03,1.13,51.10%,9.50%,11.50%,-0.55%,-2.91%,38.19%,3.63%,57.19%,35.49%,1.10,1.16,2.17%,2.25%,-2.34%,5.26%,14.27%,-12.06%,40.12%,-12.06%,81.29%,54.44,1.01%,-0.78%,2.20,755.66,2.93,45.05,0.22%,2215162,2/28/2017 4:30:00 PM
"ABDC","Alcentra Capital Corporation","Financial","Asset Management","USA",,14.68,8.70,,,0.90,,,,,0.88,9.80%,-5.10%,,,,,,,,,,,,,1.97,,,,,,,,,,,3.68%,4.94%,13.74%,6.86%,35.76%,8.27%,,0.33,2.90%,2.69%,2.75%,4.52%,8.17%,-0.15%,11.15%,-0.15%,41.74%,65.15,2.53%,0.08%,2.50,51.05,1.45,12.96,2.61%,73839,3/9/2017 4:30:00 PM
"ABE","Aberdeen Emerging Markets Smaller Company Opportunities Fund, Inc.","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,-0.25%,1.09%,6.15%,-5.03%,9.70%,7.47%,,0.12,0.68%,1.05%,-0.09%,2.64%,0.36%,-3.12%,10.92%,-6.21%,10.92%,56.41,0.33%,-0.08%,,29.47,0.40,12.09,0.25%,11861,
"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology","USA",205.84,,,,257.29,2.67,6.60,,,,-0.52,96.60%,-5.10%,55.40%,,16.70%,58.70%,-33.30%,40.36,23.61,1.50%,0.00%,37.20%,110.90%,14.71%,10.65,-22.50%,-26.60%,-27.40%,4.90,4.90,0.00,0.00,,,,2.00%,0.00%,-14.29%,-0.78%,88.19%,5.15%,1.97,0.39,6.48%,8.12%,-3.95%,-1.83%,6.01%,-20.31%,13.33%,-45.97%,124.67%,45.86,-1.92%,-0.95%,1.70,326.16,0.52,5.10,-2.86%,171182,3/9/2017 4:30:00 PM
"ABEV","Ambev S.A.","Consumer Goods","Beverages - Brewers","Brazil",85719.82,22.02,18.83,7.34,5.51,5.54,,,2.01%,,0.25,23.80%,11.50%,-26.09%,3.00%,,3.70%,-2.40%,15699.60,5975.27,,,,,0.53%,1.95,,,,,,,,,,,-1.44%,1.30%,11.20%,-12.50%,7.06%,11.20%,,0.12,1.86%,1.92%,-2.75%,0.94%,-2.58%,-9.15%,12.35%,-13.88%,17.93%,48.31,-0.36%,2.05%,2.70,16190.29,1.28,5.46,1.68%,20783134,3/9/2017 8:30:00 AM
"ABG","Asbury Automotive Group, Inc.","Services","Auto Dealerships","USA",1308.55,8.21,9.15,0.52,0.20,4.75,384.87,42.62,,0.00%,7.49,15.30%,4.49%,39.00%,15.80%,9.50%,88.40%,1.60%,21.26,20.70,1.80%,-12.36%,93.80%,-3.03%,7.89%,6.78,7.10%,67.10%,11.70%,1.20,0.40,3.26,6.11,16.20%,5.30%,2.60%,-5.74%,-6.25%,-1.99%,11.75%,4.73%,-0.24%,1.26,1.89,1.99%,2.61%,-6.40%,-4.93%,5.83%,-13.31%,1.15%,-13.31%,29.58%,36.36,-0.40%,0.49%,2.40,240.90,1.11,61.55,0.08%,267045,2/7/2017 8:30:00 AM
"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",22.75,,,,,0.86,0.97,,,,-1.70,45.00%,,46.50%,,,-64.90%,,9.10,8.99,0.90%,-7.55%,69.30%,-2.55%,0.93%,2.42,-44.60%,-47.30%,,11.00,11.00,0.00,0.00,,,,-1.96%,-2.97%,2.04%,-14.38%,-33.86%,-12.28%,2.22,0.12,5.78%,4.02%,-1.72%,-4.90%,-9.24%,-16.67%,6.38%,-42.53%,16.28%,42.86,-1.96%,2.00%,2.00,34.44,2.47,2.50,0.00%,85037,3/16/2017 4:30:00 PM
"ABM","ABM Industries Incorporated","Services","Business Services","USA",2425.89,39.50,20.67,7.74,0.47,2.49,43.32,933.04,1.57%,64.30%,1.10,16.20%,12.65%,-2.90%,5.10%,3.90%,-45.30%,33.60%,56.09,52.16,1.40%,-6.45%,93.20%,-0.04%,4.07%,3.93,2.60%,5.80%,5.20%,1.70,1.70,0.28,0.28,10.10%,1.10%,1.10%,5.98%,8.40%,0.98%,7.89%,41.74%,6.34%,0.79,0.84,2.63%,1.73%,5.64%,6.69%,11.27%,-1.30%,10.67%,-3.55%,44.58%,67.80,1.24%,0.87%,2.80,539.99,0.93,43.25,2.13%,500940,3/7/2017 4:30:00 PM
"ABMD","ABIOMED, Inc.","Healthcare","Medical Appliances & Equipment","USA",5247.18,112.96,68.91,4.43,12.66,12.61,21.80,76.38,,0.00%,1.07,-68.00%,49.32%,36.20%,25.50%,26.60%,46.80%,33.70%,43.29,42.06,1.50%,-24.21%,94.90%,2.84%,3.38%,3.40,10.50%,12.30%,10.10%,5.70,5.10,0.04,0.04,84.10%,19.60%,11.60%,0.40%,11.48%,3.91%,1.12%,40.97%,7.57%,0.50,2.29,1.42%,2.00%,4.41%,7.02%,5.70%,-0.79%,17.08%,-8.83%,45.41%,66.67,0.58%,0.28%,1.60,417.96,0.53,121.21,0.87%,222663,1/26/2017 8:30:00 AM
"ABR","Arbor Realty Trust, Inc.","Financial","REIT - Diversified","USA",387.38,16.41,10.35,2.05,2.38,0.80,2.79,,8.25%,,0.47,-34.40%,8.23%,30.44%,8.00%,16.40%,-25.90%,263.90%,49.92,43.78,1.60%,1.93%,53.20%,2.15%,0.20%,0.70,,,3.70%,,,3.89,3.89,58.90%,57.50%,,1.57%,5.87%,3.05%,0.34%,26.59%,4.02%,0.40,0.14,2.35%,1.59%,4.35%,3.85%,7.74%,-1.15%,9.14%,-1.15%,26.98%,65.58,0.65%,0.65%,2.30,127.26,1.28,7.76,1.31%,162548,3/3/2017 8:30:00 AM
"ABT","Abbott Laboratories","Healthcare","Medical Appliances & Equipment","USA",79772.26,63.85,16.62,5.68,3.83,3.29,4.25,146.91,2.32%,109.70%,0.72,-58.60%,12.19%,0.00%,11.24%,-0.50%,11.00%,2.80%,1744.80,1721.10,0.30%,4.26%,64.90%,1.34%,0.80%,1.51,3.30%,6.80%,6.70%,4.00,3.70,1.01,1.05,56.80%,15.30%,6.70%,1.04%,7.83%,19.58%,10.65%,20.11%,19.80%,1.42,0.55,1.01%,1.11%,2.24%,8.20%,11.98%,-0.26%,20.84%,-0.26%,26.75%,69.80,-0.11%,0.31%,1.90,9137.94,0.67,45.72,0.20%,6105626,1/25/2017 8:30:00 AM
"ABTL","Autobytel Inc.","Technology","Internet Information Providers","USA",162.79,57.18,11.27,2.29,1.07,1.30,4.98,11.71,,0.00%,0.25,20.60%,1.62%,19.00%,25.00%,20.90%,46.70%,9.20%,11.48,9.22,0.20%,-51.86%,64.60%,-2.07%,1.98%,2.41,2.50%,3.50%,3.20%,2.50,2.50,0.15,0.20,37.80%,3.80%,2.50%,13.44%,7.75%,-1.87%,-16.29%,-28.09%,5.43%,1.18,0.56,5.90%,3.52%,9.35%,7.54%,-3.87%,1.21%,16.23%,-33.74%,32.28%,63.28,1.29%,7.53%,1.80,75.51,2.86,14.18,8.91%,216176,3/9/2017 4:30:00 PM
"ABTX","Allegiance Bancshares, Inc.","Financial","Regional - Southwest Banks","USA",478.07,20.91,15.39,,4.74,1.69,,,,0.00%,1.75,22.30%,24.48%,,,,31.10%,12.80%,13.08,10.75,3.90%,-0.15%,32.00%,2.83%,1.07%,3.03,1.00%,8.30%,15.30%,,,0.75,0.75,,83.80%,22.70%,-2.53%,11.09%,18.67%,31.71%,100.60%,1.11%,,0.92,1.80%,2.36%,1.24%,4.64%,25.73%,-7.25%,17.15%,-7.25%,107.55%,55.37,-0.27%,-0.14%,2.00,37.97,0.79,36.55,-0.41%,29936,1/24/2017 8:30:00 AM
"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology","Canada",145.29,,,,10.09,0.35,0.97,,,,-3.24,25.20%,53.80%,-2.30%,,3.10%,36.00%,-80.50%,53.81,34.54,8.16%,,36.80%,16.11%,2.01%,2.76,-27.70%,-35.30%,-15.90%,18.10,18.10,0.00,0.00,,,,0.00%,6.93%,-15.63%,-27.90%,-27.81%,10.20%,1.15,0.13,4.72%,4.96%,1.17%,2.08%,-17.55%,-10.30%,14.89%,-50.73%,14.89%,50.81,0.00%,-1.82%,2.00,251.34,0.49,2.70,-1.82%,123012,3/10/2017 4:30:00 PM
